"STOP_FROM"	"STOP_TO"	"ROUTE"	"FLIGHTSITE_FROM"	"FLIGHTSITE_TO"
8361	199318	429	927	753
199318	8361	430	753	927
6540	6389	210	461	401
6389	6540	209	401	461
8317	6389	2105	400	401
8317	8361	2125	400	927
8361	8317	2126	927	400
6414	6389	2203	783	401
6389	6414	2204	401	783
6389	6946	2365	401	700
6946	6389	2366	700	401
6917	6389	207	977	401
6389	6917	208	401	977
6389	8340	325	401	652
8340	6389	326	652	401
6415	6389	332	976	401
6389	6415	331	401	976
6389	6415	335	401	976
6415	6389	336	976	401
6389	6415	337	401	976
6415	6389	338	976	401
6389	6415	339	401	976
6415	6389	340	976	401
8361	6886	401	927	893
6886	8361	402	893	927
6411	6389	207	793	401
8317	6414	131	400	783
8317	6414	137	400	783
6414	8317	138	783	400
8317	6415	141	400	976
6415	8317	142	976	400
8317	6415	145	400	976
6415	8317	146	976	400
8317	6415	155	400	976
6415	8317	156	976	400
8317	6411	157	400	793
6411	8317	158	793	400
8317	6415	159	400	976
6415	8317	160	976	400
6389	6886	223	401	893
6886	6389	224	893	401
6409	6389	237	958	401
6409	6389	239	958	401
6389	6409	240	401	958
6389	6415	333	401	976
6415	6389	334	976	401
6389	6415	341	401	976
8334	6946	369	997	700
6946	8334	370	700	997
6409	6415	603	958	976
6415	6409	604	976	958
8317	6389	1153	400	401
6389	8317	1154	401	400
6389	6415	1331	401	976
6415	6389	1332	976	401
6389	6415	1339	401	976
6415	6389	1340	976	401
6413	6389	211	532	401
6414	6415	213	783	976
8317	6389	105	400	401
6389	8317	106	401	400
8317	6389	107	400	401
6389	8317	108	401	400
8317	6414	129	400	783
6414	8317	130	783	400
6389	6413	212	401	532
6415	6414	214	976	783
6389	8340	323	401	652
8340	6389	324	652	401
6389	14068	327	401	518
14068	6389	328	518	401
6390	6409	613	730	958
6409	6390	614	958	730
8317	8334	615	400	997
8334	6415	619	997	976
6415	6409	620	976	958
221672	8317	1158	711	400
9147	6389	626	605	401
6901	6414	639	785	783
6414	6901	640	783	785
221672	6389	263	711	401
8317	221672	1157	400	711
8317	6917	1169	400	977
6917	8317	1170	977	400
8317	6411	1173	400	793
6411	8317	1174	793	400
6391	8317	616	787	400
8317	8334	151	400	997
8334	8317	152	997	400
8317	91141	171	400	507
6389	32759	249	401	971
8317	6886	221	400	893
6886	8317	222	893	400
6409	6415	277	958	976
6415	6409	278	976	958
6391	6408	310	787	918
32759	6389	250	971	401
6405	6415	345	901	976
6415	6405	346	976	901
8317	6415	181	400	976
6415	8317	182	976	400
6389	17853	233	401	781
17853	6389	236	781	401
8317	221672	131	400	711
6389	221672	262	401	711
6389	221672	1231	401	711
221672	6389	1232	711	401
7264	6389	1624	654	401
6391	7264	1625	787	654
6391	221672	1637	787	711
221672	6391	1638	711	787
8317	6389	1639	400	401
6389	8317	1640	401	400
91141	8317	172	507	400
6405	6415	349	901	976
6415	6405	350	976	901
6389	6415	351	401	976
6415	6391	352	976	787
6391	6415	353	787	976
6415	6391	354	976	787
6415	6389	360	976	401
6409	8334	621	958	997
221672	8317	134	711	400
8317	6917	1117	400	977
6391	8317	2106	787	400
6917	8317	1118	977	400
8317	6886	4001	893	400
6886	8317	4002	893	400
6409	11065	4007	958	642
8317	6389	8001	400	401
6389	8317	8002	401	400
8317	6409	8003	400	958
6391	8317	8004	787	400
8317	6917	8007	400	977
6917	8317	8008	977	400
6391	6414	8011	787	783
6414	6391	8012	783	787
6391	6917	8013	787	977
6917	6391	8014	977	787
6391	6415	8019	787	976
6415	6391	8020	976	787
6391	6415	8025	787	976
6415	6391	8026	976	787
6391	6417	8027	550	976
6415	6417	8028	976	550
6391	6415	8029	787	976
6415	6391	8030	976	787
6391	6888	8031	787	578
6888	6391	8032	578	787
6917	8317	8033	977	400
8317	6917	8034	400	977
8317	6415	8035	400	976
6415	8317	8036	976	400
6391	6888	219	787	578
6888	6391	220	578	787
6391	9485	391	803	787
6415	9485	392	976	803
6391	9145	393	731	787
6415	9145	394	731	787
6391	6415	395	787	976
6415	6391	396	976	787
6391	6415	397	787	976
6415	6391	398	976	787
6391	6414	651	787	783
6414	6391	655	783	787
6415	6411	658	793	400
8317	6411	659	793	400
6391	6917	660	977	787
8317	6391	153	400	787
6391	8317	154	787	400
6409	6391	311	958	787
