"STOP_NUMBER"	"STOP_NAME"	"STOP_ZAZA"
187944	"MOHLADETSI - BUS STO..."	""
45126	"MOKOPANE ( MBEKI STR..."	""
36510	"MOKOPANE ( POTGIETER..."	""
187875	"MOKOPANE - TRANSLUX ..."	""
185352	"MONDLO"	""
185353	"MOOIRIVER"	""
200560	"MOOKGOPHONG ( NABOOM..."	""
44441	"MOTHERWELL"	""
187728	"MPHAMBO ( LOADING PO..."	""
25969	"MT ALIFF"	""
25970	"MT FRERE"	""
199898	"MUXUNGUE"	""
187585	"NABOKWE"	""
6912	"NABOOMSPRUIT"	""
202964	"NAKONDE"	""
188083	"NAMAKWE"	""
188106	"NAMAQUALAND"	""
6390	"NELSPRUIT"	""
9145	"NEWCASTLE"	""
11124	"NOUPOORT"	""
187582	"NQAMAKWE"	""
185354	"NQUTU"	""
187868	"NWAMATATANI - LOADIN..."	""
6908	"NYLSTROOM"	""
187847	"NZHELE - SILOOM HOSP..."	""
199319	"ODANGWA"	""
191764	"OMARURU"	""
187923	"ORLANDO - TRAIN STAT..."	""
187848	"PHIPHIDI - WATER WOR..."	""
6892	"PIETERSBURG"	""
36299	"PIETERSBURG CITY SQU..."	""
36509	"POLOKWANE ( PIETERSB..."	""
23659	"PORT SHEPTONE ( BEDF..."	""
6909	"POTGIETERSRUS"	""
70221	"PRINCE ALBERT ROAD"	""
215039	"MANGOCHI"	""
215422	"NDOLA"	""
224940	"LENASIA PROTEA"	""
224939	"LENASIA SIGNET"	""
224929	"LENASIA SOUTH SHEFFI..."	""
224937	"LENASIA SOUTH STARLI..."	""
231438	"DURBAN ( STATION)"	""
232993	"MARGATE VILLAGE"	""
235096	"KUTAMA"	""
235100	"MADABANI"	""
235102	"MADODONGA"	""
235104	"MADOMBIDZHA"	""
235112	"MUDULUNI"	""
235118	"PHITHELA"	""
235122	"RAMANTSHA"	""
235123	"TSHIKWANANI"	""
235124	"TSHIOZWI"	""
265349	"CHINTECHE"	""
265538	"DEDZA"	""
265536	"DURBAN GATEWAY"	""
265347	"DWANIBAZI"	""
265348	"KANDE"	""
235635	"KAPIRI"	""
267916	"MACLEAR"	""
232992	"MARGATE MAROELA FLAT..."	""
268423	"MARGATE MINI COACH O..."	""
268355	"MARGATE RETIREMENT V..."	""
265535	"MARGATE SANDS"	""
268073	"MATATIEL"	""
267915	"MT FLETCHER"	""
265414	"NELSPRUIT."	""
265350	"NKHATHA BAY"	""
265346	"NKHOTAKOTA"	""
268354	"RAMSGATE RETIREMENT ..."	""
265345	"SALIMA"	""
267917	"UGIE"	""
265517	"UMTHUNZI"	""
223197	"BELLEVUE"	""
223198	"BRAMLEY"	""
223199	"CHIAWELA"	""
223200	"DINGAMAZI"	""
223201	"DZINGIDZINGI"	""
223203	"GANDLANANI"	""
223204	"JAMELA"	""
221670	"JOE GQABI"	""
223205	"KREMETART"	""
223202	"MAKGAKGAPADI"	""
17187	"MAPHALULE"	""
223210	"MBUMA COMPLEX"	""
221671	"NGCOBO"	""
217188	"NGUNDU"	""
223206	"NWA-MANKENA"	""
223208	"PHADPHADI"	""
223209	"TEMBISA"	""
223580	"VICTORIA FALL BORDER"	""
225220	"KABWE"	""
225761	"KAPIRI MPOSHI"	""
225578	"BATTLEFIELDS"	""
226432	"BHORA"	""
226436	"CORNERSTONE"	""
226437	"EMPRESS TURN-OFF"	""
226439	"HALFWAY"	""
227724	"JOHANNESBURG (FLEET ..."	""
226443	"KOTWA"	""
226444	"MBEMBESI"	""
226445	"MUREHWA"	""
226446	"MUTOKO"	""
226447	"NORTON"	""
