"COMPANY_NAME"	"IS_DEALER"	"ACCOUNT_CODE"	"POSTAL_ADDRESS"	"STATEMENT_EMAIL"	"STATEMENT_FAX"	"STATEMENT_DELIVERY"	"COMMISSION"	"DAYS_TO_PAY"	"M_CURRENCY"	"LAST_CLOSE_BALANCE"	"LAST_CLOSE_CURRENCY"	"LAST_CLOSE_MONTH"	"COMMISSION_BUDGETLINER"	"COMMISSION_SLEEPLINER"	"CONTROLLER"	"COUNTRY"	"EXPORT_DEBTORS"	"IS_CURRENT"	"VAT_NUMBER"	"DEBTOR_TYPE"	"BILLING_PERIOD"	"STATEMENT_DETAILS"	"ACC_CONTACT_PERSON"	"DATE_CREATED"	"RELATED_PARTY"	"LAST_UPDATED"	"LAST_SYNC"	"SAGE_SITE"	"CC_ACCOUNT_NO"	"COMMISSION_BAGGAGE"	"INV_CUTOFF"	"TERMS"	"CREDIT_LIMIT"	"PAYMENT_DATE"	"CUTOFF_DAY"	"PAYMENT_DAY"	"NORMAL_LIMIT_APPROVED_BY"	"SPECIAL_CREDIT_LIMIT"	"SPECIAL_LIMIT_APPROVED_BY"	"SPECIAL_LIMIT_EXPIRY_DATE"	"SHOPPING_BASKET_RESTRICTION"	"STATEMENT_REMINDER"
"Triumph Travel (Sea Point)"	"Y"	"1089"	"PO Box 110
152 Main Rd
Sea Point
8060"	"janet.triumphtravel@galileosa.co.za"	"(021) 439 7609"	"E"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""	23/MAR/06	"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Coleskop Filling Station"	"Y"	"1090"	"PO Box 244
National Rd. N1 Hoofweg
Colesberg
9795
TEL: 0517531317 Dany"	"bus1colesberg@gmail.com"	"(051) 753 0614"	"F"	10	7	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"NOT REGISTERED"	"B"	"W"	"N"	""	27/DEC/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"N7 Motorstop Restuarant"	"Y"	"1095"	"PO Box 14
2 Van Riebeeck Str
VANRHYNSDORP
8170
kobie@kingsley.co.za"	""	"(027) 219 1199"	"f"	10	7	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""	05/JAN/06	"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Alexcor Beperk"	"Y"	"1097"	"Private Bag X5
Oranjeweg, Alexander Bay
Alexander Bay
8290"	""	"(0256) 831 1552"	"N"	0	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Travelrox"	"Y"	"1098"	"PO Box 40364
C/o OR Thambo & Mandela Street
Witbank

013 656 4964"	"riethal@flightspecials.co.za"	"1035"	"E"	12	7	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"4840166740"	"B"	"W"	"N"	""	03/JAN/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Sure Franshhoek Travel"	"Y"	"1100"	"PO Box 662
49 Hugenot Road Franschhoek'Shop 2; Centre Du Village
Franschhoek
7690 
sandy@steltrav.co.za
sandy@steltrav.co.za

 
accounts.steltrav@galileosa.co.za"	""	"(021) 876 2837"	"N"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""	30/JUL/05	"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"H and J Service Station"	"Y"	"1897"	""	""	""	""	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Nelandis Travel (Parc du Cap)"	"Y"	"1105"	""	"rinad@mailuniverse.co.za"	""	"E"	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Med Travel"	"Y"	"1106"	"PO Box 10687
54 Winder Street
Marine Parade
4056"	"fortunate.dlamini@harveyworld.co.za"	"(031) 360 7190"	"E"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	23/JUN/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"HWT Knysna (Panells)"	"Y"	"1107"	"yolande.procter@harveyworld.co.za"	"yolande.procter@harveyworld.co.za"	""	"N"	12		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	05/MAY/15	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Momentum Travel"	"Y"	"1108"	"PO Box 5579
Unit B13, Century Square, Heron Crescent
Susan Botes, 021 380 4455 ,debtors@intercape.co.za  TEL 

012 285 0000"	"admin@momentumtravel.co.za"	"(021) 552 0251"	"E"	10	30	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"4070101169"	"B"	"M"	"N"	""	27/OCT/05	"N"	20/SEP/17	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Lowveld Promotions"	"Y"	"1110"	""	"accounts@intercape.co.za"	""	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	05/MAY/15	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Indo Jet Travel (Cape)"	"Y"	"1111"	"PO Box 3359
201 Santyger Building, Willie Schoor
Bellville
7530
glynnis.spannenberg@trtretail.co.za
tel Jannemy 0116910644"	"jannemy.milleken@travel.co.za"	"(021) 914 4091"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"Y"	""	29/AUG/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Southlake Travel"	"Y"	"1118"	"lorrainevs.southlaketrav@galileosa.co.za"	"lorrainevs.southlaketrav@galileosa.co.za"	""	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	03/APR/06	"N"	05/MAY/15	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"LM Travel"	"Y"	"1119"	""	"lmtravel@galileosa.co.za"	""	"E"	10	7	"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Manica Travel"	"Y"	"1121"	"PO Box 1475
2 Limpopo Building, National Rd., Massina
Messina
0900
limpopotrav2@lantic.net"	""	"(015) 534 2233"	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	29/NOV/05	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Blakes Travel Randfontein (M)"	"Y"	"1122"	"Please note: Lady that will be working with your account from now on: Susan Botes, 021 380 4455 ,debtors@intercape.co.za

Tel 0116933761"	"tina@blaketravel.co.za"	""	"E"	10	30	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"4610117501"	"B"	"M"	"N"	""	03/JAN/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Blakes Travel Krugersdorp"	"Y"	"1123"	""	""	""	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"HWT Rosebank"	"Y"	"1125"	"P.O. Box 1771
Saxonworld
3132
phumla.s@harveyworld.co.za


ph. no. 011-4472528"	""	"011-4470921"	"f"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	23/MAR/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Inter Vaal Travel"	"Y"	"1129"	"cillia.intervaal@galileosa.co.za"	""	""	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
